Flat profile:

Each sample counts as 0.01 seconds.
  %   cumulative   self              self     total           
 time   seconds   seconds    calls  ms/call  ms/call  name    
  0.00      4.00     0.00        3     0.00     0.00  std::function<double (double)>::function<Matrix::add(double)::{lambda(double)#1}, void>(Matrix::add(double)::{lambda(double)#1}&&)
  0.00      4.00     0.00        3     0.00     0.00  std::function<double (double, double)>::~function()
  0.00      4.00     0.00        3     0.00     0.00  Matrix::multiply_by_coefficient(double)::{lambda(double)#1}& std::_Any_data::_M_access<Matrix::multiply_by_coefficient(double)::{lambda(double)#1}>()
  0.00      4.00     0.00        3     0.00     0.00  Matrix::add(double)::{lambda(double)#1}& std::_Any_data::_M_access<Matrix::add(double)::{lambda(double)#1}>()
  0.00      4.00     0.00        3     0.00     0.00  Matrix::subtract(Matrix const&)::{lambda(double, double)#1}&& std::forward<Matrix::subtract(Matrix const&)::{lambda(double, double)#1}>(std::remove_reference<Matrix::subtract(Matrix const&)::{lambda(double, double)#1}>::type&)
  0.00      4.00     0.00        2     0.00     0.00  Matrix::add(Matrix const&)
  0.00      4.00     0.00        2     0.00     0.00  Matrix::divide(double)
  0.00      4.00     0.00        2     0.00     0.00  std::_Function_base::_Base_manager<Matrix::add(Matrix const&)::{lambda(double, double)#1}>::_M_destroy(std::_Any_data&, std::integral_constant<bool, true>)
  0.00      4.00     0.00        2     0.00     0.00  std::_Function_base::_Base_manager<Matrix::add(Matrix const&)::{lambda(double, double)#1}>::_M_manager(std::_Any_data&, std::_Any_data const&, std::_Manager_operation)
  0.00      4.00     0.00        2     0.00     0.00  void std::_Function_base::_Base_manager<Matrix::add(Matrix const&)::{lambda(double, double)#1}>::_M_init_functor<Matrix::add(Matrix const&)::{lambda(double, double)#1}>(std::_Any_data&, Matrix::add(Matrix const&)::{lambda(double, double)#1}&&)
  0.00      4.00     0.00        2     0.00     0.00  bool std::_Function_base::_Base_manager<Matrix::add(Matrix const&)::{lambda(double, double)#1}>::_M_not_empty_function<Matrix::add(Matrix const&)::{lambda(double, double)#1}>(Matrix::add(Matrix const&)::{lambda(double, double)#1} const&)
  0.00      4.00     0.00        2     0.00     0.00  void std::_Function_base::_Base_manager<Matrix::add(Matrix const&)::{lambda(double, double)#1}>::_M_create<Matrix::add(Matrix const&)::{lambda(double, double)#1}>(std::_Any_data&, Matrix::add(Matrix const&)::{lambda(double, double)#1}&&, std::integral_constant<bool, true>)
  0.00      4.00     0.00        2     0.00     0.00  std::_Function_handler<double (double, double), Matrix::add(Matrix const&)::{lambda(double, double)#1}>::_M_manager(std::_Any_data&, std::_Any_data const&, std::_Manager_operation)
  0.00      4.00     0.00        2     0.00     0.00  std::function<double (double, double)>::function<Matrix::add(Matrix const&)::{lambda(double, double)#1}, void>(Matrix::add(Matrix const&)::{lambda(double, double)#1}&&)
  0.00      4.00     0.00        2     0.00     0.00  Matrix::add(Matrix const&)::{lambda(double, double)#1}& std::_Any_data::_M_access<Matrix::add(Matrix const&)::{lambda(double, double)#1}>()
  0.00      4.00     0.00        1     0.00     0.28  SimpleTest()
  0.00      4.00     0.00        1     0.00     0.83  StudentTest()
  0.00      4.00     0.00        1     0.00     0.00  __static_initialization_and_destruction_0(int, int)
  0.00      4.00     0.00        1     0.00     0.00  __static_initialization_and_destruction_0(int, int)
  0.00      4.00     0.00        1     0.00     0.00  rref(Matrix const&)
  0.00      4.00     0.00        1     0.00     0.00  Matrix::get_col(unsigned int)
  0.00      4.00     0.00        1     0.00     0.00  Matrix::get_row(unsigned int)
  0.00      4.00     0.00        1     0.00     0.00  Matrix::subtract(Matrix const&)
  0.00      4.00     0.00        1     0.00     0.00  Matrix::subtract(double)
  0.00      4.00     0.00        1     0.00     0.00  std::_Function_base::_Base_manager<Matrix::subtract(Matrix const&)::{lambda(double, double)#1}>::_M_destroy(std::_Any_data&, std::integral_constant<bool, true>)
  0.00      4.00     0.00        1     0.00     0.00  std::_Function_base::_Base_manager<Matrix::subtract(Matrix const&)::{lambda(double, double)#1}>::_M_manager(std::_Any_data&, std::_Any_data const&, std::_Manager_operation)
  0.00      4.00     0.00        1     0.00     0.00  void std::_Function_base::_Base_manager<Matrix::subtract(Matrix const&)::{lambda(double, double)#1}>::_M_init_functor<Matrix::subtract(Matrix const&)::{lambda(double, double)#1}>(std::_Any_data&, Matrix::subtract(Matrix const&)::{lambda(double, double)#1}&&)
  0.00      4.00     0.00        1     0.00     0.00  bool std::_Function_base::_Base_manager<Matrix::subtract(Matrix const&)::{lambda(double, double)#1}>::_M_not_empty_function<Matrix::subtract(Matrix const&)::{lambda(double, double)#1}>(Matrix::subtract(Matrix const&)::{lambda(double, double)#1} const&)
  0.00      4.00     0.00        1     0.00     0.00  void std::_Function_base::_Base_manager<Matrix::subtract(Matrix const&)::{lambda(double, double)#1}>::_M_create<Matrix::subtract(Matrix const&)::{lambda(double, double)#1}>(std::_Any_data&, Matrix::subtract(Matrix const&)::{lambda(double, double)#1}&&, std::integral_constant<bool, true>)
  0.00      4.00     0.00        1     0.00     0.00  std::_Function_handler<double (double, double), Matrix::subtract(Matrix const&)::{lambda(double, double)#1}>::_M_manager(std::_Any_data&, std::_Any_data const&, std::_Manager_operation)
  0.00      4.00     0.00        1     0.00     0.00  std::function<double (double, double)>::function<Matrix::subtract(Matrix const&)::{lambda(double, double)#1}, void>(Matrix::subtract(Matrix const&)::{lambda(double, double)#1}&&)
  0.00      4.00     0.00        1     0.00     0.00  Matrix::subtract(Matrix const&)::{lambda(double, double)#1}& std::_Any_data::_M_access<Matrix::subtract(Matrix const&)::{lambda(double, double)#1}>()
